RPM,TinjA,TinjB,Tinj,Prail,Vinj_cum,TinjCNG,Pred,Pmap,Pcng,Tcng
1000.0000000000,401.0000000000,886.0000000000,1287.0000000000,1058.6881526721,0.0000016960,7.0000000000,2.0471482042,1.0000000000,1.0471482042,25
1000.0000000000,335.0000000000,871.0000000000,1206.0000000000,1088.7670304522,0.0000033114,6.0000000000,1.9254275942,1.0000000000,0.9254275942,25
1000.0000000000,489.0000000000,723.0000000000,1212.0000000000,1014.3098631806,0.0000048691,4.0000000000,1.9796191084,1.0000000000,0.9796191084,25
1000.0000000000,306.0000000000,672.0000000000,978.0000000000,943.5140910724,0.0000060735,3.0000000000,1.9078563782,1.0000000000,0.9078563782,25
1000.0000000000,397.0000000000,536.0000000000,933.0000000000,1016.1584970129,0.0000072739,6.0000000000,2.0311987177,1.0000000000,1.0311987177,25
1000.0000000000,313.0000000000,891.0000000000,1204.0000000000,1080.9606287774,0.0000088799,6.0000000000,1.8817970248,1.0000000000,0.8817970248,25
1000.0000000000,472.0000000000,808.0000000000,1280.0000000000,1019.7188888692,0.0000105302,9.0000000000,2.0771665576,1.0000000000,1.0771665576,25
1000.0000000000,422.0000000000,645.0000000000,1067.0000000000,1081.3526601987,0.0000119537,5.0000000000,1.8830143521,1.0000000000,0.8830143521,25
1000.0000000000,363.0000000000,721.0000000000,1084.0000000000,1028.4599968958,0.0000133583,8.0000000000,2.0730313752,1.0000000000,1.0730313752,25
1000.0000000000,465.0000000000,737.0000000000,1202.0000000000,953.5718097655,0.0000148479,3.0000000000,1.8881789535,1.0000000000,0.8881789535,25
1000.0000000000,420.0000000000,737.0000000000,1157.0000000000,1058.9770060717,0.0000163728,3.0000000000,1.9537932163,1.0000000000,0.9537932163,25
1000.0000000000,327.0000000000,594.0000000000,921.0000000000,1089.5975661432,0.0000176070,5.0000000000,1.9966819341,1.0000000000,0.9966819341,25
1000.0000000000,499.0000000000,657.0000000000,1156.0000000000,1083.8769639754,0.0000191514,7.0000000000,1.8541548347,1.0000000000,0.8541548347,25
1000.0000000000,454.0000000000,518.0000000000,972.0000000000,1012.2606598985,0.0000203992,9.0000000000,1.9394244771,1.0000000000,0.9394244771,25
1000.0000000000,318.0000000000,804.0000000000,1122.0000000000,1038.9125871257,0.0000218616,7.0000000000,2.1774862631,1.0000000000,1.1774862631,25
