RPM,TinjA,TinjB,Tinj,Prail,Vinj_cum,TinjCNG,Pred,Pmap,Pcng,Tcng
1000.0000000000,399.0000000000,711.0000000000,1110.0000000000,932.3333417258,0.0000013573,9.0000000000,1.8140368609,1.0000000000,0.8140368609,25
1000.0000000000,362.0000000000,783.0000000000,1145.0000000000,1067.2729540655,0.0000028733,7.0000000000,1.9409549879,1.0000000000,0.9409549879,25
1000.0000000000,420.0000000000,544.0000000000,964.0000000000,1013.6225602969,0.0000041118,7.0000000000,2.1962489453,1.0000000000,1.1962489453,25
1000.0000000000,406.0000000000,612.0000000000,1018.0000000000,966.6412173423,0.0000053836,9.0000000000,1.8218914503,1.0000000000,0.8218914503,25
1000.0000000000,478.0000000000,667.0000000000,1145.0000000000,922.2018487991,0.0000067745,4.0000000000,2.0736887283,1.0000000000,1.0736887283,25
1000.0000000000,407.0000000000,531.0000000000,938.0000000000,1006.4933004030,0.0000079746,4.0000000000,2.0127388736,1.0000000000,1.0127388736,25
1000.0000000000,363.0000000000,780.0000000000,1143.0000000000,1073.3552899019,0.0000094930,5.0000000000,1.8426707954,1.0000000000,0.8426707954,25
1000.0000000000,356.0000000000,664.0000000000,1020.0000000000,972.9115607957,0.0000107722,9.0000000000,1.8292155934,1.0000000000,0.8292155934,25
1000.0000000000,390.0000000000,620.0000000000,1010.0000000000,1033.0676351270,0.0000120843,7.0000000000,1.8245267932,1.0000000000,0.8245267932,25
1000.0000000000,331.0000000000,677.0000000000,1008.0000000000,1039.2056697410,0.0000133983,4.0000000000,1.8057694109,1.0000000000,0.8057694109,25
1000.0000000000,337.0000000000,788.0000000000,1125.0000000000,1029.3230141225,0.0000148567,4.0000000000,1.8855332362,1.0000000000,0.8855332362,25
1000.0000000000,499.0000000000,539.0000000000,1038.0000000000,1085.2718477569,0.0000162445,3.0000000000,1.9829592232,1.0000000000,0.9829592232,25
1000.0000000000,311.0000000000,879.0000000000,1190.0000000000,902.1384606790,0.0000176713,8.0000000000,2.1646839791,1.0000000000,1.1646839791,25
1000.0000000000,324.0000000000,879.0000000000,1203.0000000000,1083.9513326093,0.0000192785,7.0000000000,2.0817432910,1.0000000000,1.0817432910,25
1000.0000000000,381.0000000000,591.0000000000,972.0000000000,1010.2535051445,0.0000205248,4.0000000000,1.8717414884,1.0000000000,0.8717414884,25
1000.0000000000,395.0000000000,650.0000000000,1045.0000000000,950.0291425755,0.0000218170,5.0000000000,2.0491981093,1.0000000000,1.0491981093,25
1000.0000000000,373.0000000000,525.0000000000,898.0000000000,940.6029882848,0.0000229208,3.0000000000,2.0107069717,1.0000000000,1.0107069717,25
1000.0000000000,438.0000000000,593.0000000000,1031.0000000000,1046.7767691672,0.0000242706,5.0000000000,1.9662271940,1.0000000000,0.9662271940,25
1000.0000000000,402.0000000000,861.0000000000,1263.0000000000,1046.8400773123,0.0000259241,5.0000000000,1.9684653148,1.0000000000,0.9684653148,25
1000.0000000000,402.0000000000,562.0000000000,964.0000000000,998.3124435187,0.0000271515,5.0000000000,2.0088115666,1.0000000000,1.0088115666,25
1000.0000000000,331.0000000000,859.0000000000,1190.0000000000,1068.1795261077,0.0000287279,8.0000000000,2.1445173884,1.0000000000,1.1445173884,25
1000.0000000000,455.0000000000,711.0000000000,1166.0000000000,963.5139992323,0.0000301818,7.0000000000,1.8839200177,1.0000000000,0.8839200177,25
1000.0000000000,334.0000000000,764.0000000000,1098.0000000000,947.9479770733,0.0000315378,4.0000000000,2.1867095317,1.0000000000,1.1867095317,25
1000.0000000000,386.0000000000,726.0000000000,1112.0000000000,1040.2741580232,0.0000329883,5.0000000000,1.9618192909,1.0000000000,0.9618192909,25
1000.0000000000,495.0000000000,851.0000000000,1346.0000000000,903.4554038230,0.0000346034,8.0000000000,2.1486542755,1.0000000000,1.1486542755,25
1000.0000000000,322.0000000000,870.0000000000,1192.0000000000,1098.4812672311,0.0000362083,9.0000000000,1.9114536776,1.0000000000,0.9114536776,25
1000.0000000000,452.0000000000,668.0000000000,1120.0000000000,995.5760972167,0.0000376321,6.0000000000,1.8995682193,1.0000000000,0.8995682193,25
1000.0000000000,471.0000000000,889.0000000000,1360.0000000000,1048.3627625795,0.0000394141,7.0000000000,1.8161450925,1.0000000000,0.8161450925,25
1000.0000000000,405.0000000000,582.0000000000,987.0000000000,1087.5295604109,0.0000407353,5.0000000000,2.1705902056,1.0000000000,1.1705902056,25
1000.0000000000,428.0000000000,657.0000000000,1085.0000000000,937.5806520956,0.0000420665,4.0000000000,2.0819857062,1.0000000000,1.0819857062,25
1000.0000000000,499.0000000000,605.0000000000,1104.0000000000,1018.2670207309,0.0000434886,4.0000000000,2.1632763877,1.0000000000,1.1632763877,25
1000.0000000000,433.0000000000,894.0000000000,1327.0000000000,1044.4826804059,0.0000452236,9.0000000000,2.0403334669,1.0000000000,1.0403334669,25
1000.0000000000,378.0000000000,514.0000000000,892.0000000000,1019.0085465243,0.0000463732,4.0000000000,1.9508090431,1.0000000000,0.9508090431,25
1000.0000000000,300.0000000000,604.0000000000,904.0000000000,1071.7254212170,0.0000475730,9.0000000000,1.9778164323,1.0000000000,0.9778164323,25
1000.0000000000,488.0000000000,605.0000000000,1093.0000000000,955.7554739553,0.0000489294,3.0000000000,1.9797907622,1.0000000000,0.9797907622,25
1000.0000000000,474.0000000000,537.0000000000,1011.0000000000,1007.8199346751,0.0000502239,8.0000000000,1.9595923613,1.0000000000,0.9595923613,25
1000.0000000000,425.0000000000,880.0000000000,1305.0000000000,1024.1220167395,0.0000519106,5.0000000000,2.0277030219,1.0000000000,1.0277030219,25
1000.0000000000,410.0000000000,786.0000000000,1196.0000000000,1046.3903332421,0.0000534760,4.0000000000,2.1341104866,1.0000000000,1.1341104866,25
1000.0000000000,390.0000000000,897.0000000000,1287.0000000000,952.3113719223,0.0000550697,5.0000000000,2.0016984878,1.0000000000,1.0016984878,25
1000.0000000000,436.0000000000,661.0000000000,1097.0000000000,1017.5428681665,0.0000564822,3.0000000000,1.8125148341,1.0000000000,0.8125148341,25
1000.0000000000,408.0000000000,707.0000000000,1115.0000000000,1011.5097007710,0.0000579130,8.0000000000,2.0625811197,1.0000000000,1.0625811197,25
1000.0000000000,320.0000000000,785.0000000000,1105.0000000000,1035.1233342047,0.0000593502,5.0000000000,2.0688216578,1.0000000000,1.0688216578,25
1000.0000000000,479.0000000000,591.0000000000,1070.0000000000,1062.3181856080,0.0000607630,3.0000000000,1.9279481735,1.0000000000,0.9279481735,25
1000.0000000000,402.0000000000,575.0000000000,977.0000000000,904.0617378743,0.0000619359,6.0000000000,2.1764159526,1.0000000000,1.1764159526,25
1000.0000000000,494.0000000000,736.0000000000,1230.0000000000,1063.3482788449,0.0000635610,8.0000000000,2.1803257187,1.0000000000,1.1803257187,25
1000.0000000000,395.0000000000,585.0000000000,980.0000000000,954.7513978057,0.0000647764,8.0000000000,2.0073553500,1.0000000000,1.0073553500,25
1000.0000000000,463.0000000000,710.0000000000,1173.0000000000,917.6391296362,0.0000661971,3.0000000000,1.9092428473,1.0000000000,0.9092428473,25
1000.0000000000,352.0000000000,703.0000000000,1055.0000000000,1081.9601099866,0.0000676051,9.0000000000,1.8174358229,1.0000000000,0.8174358229,25
1000.0000000000,343.0000000000,797.0000000000,1140.0000000000,972.3455537297,0.0000690343,9.0000000000,1.8901434613,1.0000000000,0.8901434613,25
1000.0000000000,365.0000000000,605.0000000000,970.0000000000,1047.9914692994,0.0000703050,8.0000000000,2.1229252631,1.0000000000,1.1229252631,25
1000.0000000000,391.0000000000,550.0000000000,941.0000000000,999.1098725746,0.0000715038,5.0000000000,2.1500596528,1.0000000000,1.1500596528,25
1000.0000000000,340.0000000000,752.0000000000,1092.0000000000,1028.4331290423,0.0000729187,8.0000000000,2.0128843250,1.0000000000,1.0128843250,25
1000.0000000000,467.0000000000,887.0000000000,1354.0000000000,981.1210619852,0.0000746252,4.0000000000,1.8964056453,1.0000000000,0.8964056453,25
1000.0000000000,441.0000000000,538.0000000000,979.0000000000,1045.8720567731,0.0000759062,8.0000000000,2.1630066558,1.0000000000,1.1630066558,25
1000.0000000000,499.0000000000,716.0000000000,1215.0000000000,977.2619841097,0.0000774339,4.0000000000,2.1560112536,1.0000000000,1.1560112536,25
1000.0000000000,422.0000000000,745.0000000000,1167.0000000000,1094.7487114263,0.0000790020,7.0000000000,1.8453763616,1.0000000000,0.8453763616,25
1000.0000000000,366.0000000000,633.0000000000,999.0000000000,1005.8283459846,0.0000802797,3.0000000000,1.9658213157,1.0000000000,0.9658213157,25
1000.0000000000,374.0000000000,680.0000000000,1054.0000000000,961.5223865252,0.0000815923,3.0000000000,2.1976497516,1.0000000000,1.1976497516,25
1000.0000000000,346.0000000000,745.0000000000,1091.0000000000,1099.5522021925,0.0000830620,4.0000000000,2.0688227200,1.0000000000,1.0688227200,25
1000.0000000000,357.0000000000,514.0000000000,871.0000000000,1005.9869910515,0.0000841761,4.0000000000,2.1094072439,1.0000000000,1.1094072439,25
1000.0000000000,466.0000000000,722.0000000000,1188.0000000000,934.3507019146,0.0000856306,7.0000000000,2.1907209702,1.0000000000,1.1907209702,25
